x,y,orientation,condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,.stepSize,.intensity,image_name,global_start_time,global_end_time,pressKey,pressRT,releaseRT,image_started,image_ended,name,globalTime,fixation_dur,cue_dur,stimulation_dur,post_fixation,opacity,orientationResponse_pressKey,orientationResponse_pressRT,orientationResponse_releaseRT,.response,locationResponse_pressKey,locationResponse_pressRT,locationResponse_releaseRT,pasResponse_pressKey,pasResponse_pressRT,pasResponse_releaseRT,finalOpacity,postLoc,postOri,ID,frameRate,
,,,,0,16,-1,0,0.0969100130080564,0.064,,,,,,,,,staircase,276.6704727001488,120.0,6.0,2.0,72.0,0.064,7,2.1469580999109894,2.3303477000445127,0,,,,,,,,,,1905_1145,60.0,
,,,,0,17,-1,0,0.0969100130080564,0.08,,,,,,,,,staircase,282.8061954001896,150.0,6.0,2.0,72.0,0.08,0,1.209033700171858,1.4235849999822676,1,,,,,,,,,,1905_1145,60.0,
,,,,0,18,-1,0,0.0969100130080564,0.08,,,,,,,,,staircase,288.5433704999741,96.0,6.0,2.0,72.0,0.08,7,1.3060602999757975,1.4559349999763072,1,,,,,,,,,,1905_1145,60.0,
,,,,0,19,-1,0,0.0969100130080564,0.064,,,,,,,,,staircase,293.80445280019194,120.0,6.0,2.0,72.0,0.064,6,1.2287632001098245,1.4115947000682354,1,,,,,,,,,,1905_1145,60.0,
,,,,0,20,-1,0,0.0969100130080564,0.064,,,,,,,,,staircase,299.03709170012735,144.0,6.0,2.0,72.0,0.064,6,0.8287641999777406,1.0128641999326646,1,,,,,,,,,,1905_1145,60.0,
,,,,0,21,-1,0,0.0969100130080564,0.0512,,,,,,,,,staircase,304.2558726000134,132.0,6.0,2.0,72.0,0.0512,1,1.114833900006488,1.3322580999229103,1,,,,,,,,,,1905_1145,60.0,
,,,,0,22,-1,0,0.0969100130080564,0.0512,,,,,,,,,staircase,309.59355530003086,108.0,6.0,2.0,72.0,0.0512,0,0.8865618000272661,1.0895851000677794,1,,,,,,,,,,1905_1145,60.0,
,,,,0,23,-1,0,0.0969100130080564,0.04096,,,,,,,,,staircase,314.73452990013175,132.0,6.0,2.0,72.0,0.04096,6,1.2416201999876648,1.4495739000849426,1,,,,,,,,,,1905_1145,60.0,
,,,,0,24,-1,0,0.0969100130080564,0.04096,,,,,,,,,staircase,320.5744599001482,96.0,6.0,2.0,72.0,0.04096,7,1.4352714999113232,1.66073549981229,0,,,,,,,,,,1905_1145,60.0,
,,,,0,25,-1,0,0.0969100130080564,0.0512,,,,,,,,,staircase,325.6551632999908,132.0,6.0,2.0,72.0,0.0512,6,1.1144112998154014,1.333365899976343,1,,,,,,,,,,1905_1145,60.0,
,,,,0,26,-1,0,0.0969100130080564,0.0512,,,,,,,,,staircase,330.99427630007267,96.0,6.0,2.0,72.0,0.0512,1,1.827554800081998,2.01992250001058,1,,,,,,,,,,1905_1145,60.0,
,,,,0,27,-1,0,0.0969100130080564,0.04096,,,,,,,,,staircase,336.482193400152,150.0,6.0,2.0,72.0,0.04096,0,1.0103349999990314,1.2286776001565158,1,,,,,,,,,,1905_1145,60.0,
,,,,0,28,-1,0,0.0969100130080564,0.04096,,,,,,,,,staircase,342.13755089999177,114.0,6.0,2.0,72.0,0.04096,7,0.893825699808076,1.1113507999107242,1,,,,,,,,,,1905_1145,60.0,
,,,,0,29,-1,0,0.0969100130080564,0.032768000000000005,,,,,,,,,staircase,346.95518800010905,114.0,6.0,2.0,72.0,0.032768000000000005,0,0.6615452000405639,0.8617114000953734,1,,,,,,,,,,1905_1145,60.0,
,,,,0,30,-1,0,0.0969100130080564,0.032768000000000005,,,,,,,,,staircase,351.5249652999919,96.0,6.0,2.0,72.0,0.032768000000000005,6,2.4030316998250782,2.59354649996385,0,,,,,,,,,,1905_1145,60.0,
,,,,0,31,-1,0,0.0969100130080564,0.04096000000000001,,,,,,,,,staircase,357.51057350006886,132.0,6.0,2.0,72.0,0.04096000000000001,7,1.6708116999361664,1.8554754999931902,1,,,,,,,,,,1905_1145,60.0,
,,,,0,32,-1,0,0.0969100130080564,0.04096000000000001,,,,,,,,,staircase,364.9698688001372,138.0,6.0,2.0,72.0,0.04096000000000001,1,0.8276170000899583,1.0442769001238048,1,,,,,,,,,,1905_1145,60.0,
,,,,0,33,-1,0,0.0969100130080564,0.032768000000000005,,,,,,,,,staircase,371.7412949001882,144.0,6.0,2.0,72.0,0.032768000000000005,1,0.8035375000908971,1.053380300058052,1,,,,,,,,,,1905_1145,60.0,
,,,,0,34,-1,0,0.0969100130080564,0.032768000000000005,,,,,,,,,staircase,377.0121615000535,102.0,6.0,2.0,72.0,0.032768000000000005,6,0.43398119998164475,0.654371399898082,1,,,,,,,,,,1905_1145,60.0,
,,,,0,35,-1,0,0.0969100130080564,0.026214400000000006,,,,,,,,,staircase,381.7047129001003,150.0,6.0,2.0,72.0,0.026214400000000006,7,1.2643309000413865,1.5138725999277085,1,,,,,,,,,,1905_1145,60.0,
,,,,0,36,-1,0,0.0969100130080564,0.026214400000000006,,,,,,,,,staircase,387.5697672001552,144.0,6.0,2.0,72.0,0.026214400000000006,0,1.2973146999720484,1.4968717999290675,1,,,,,,,,,,1905_1145,60.0,
,,,,0,37,-1,0,0.0969100130080564,0.020971520000000004,,,,,,,,,staircase,393.27378930011764,114.0,6.0,2.0,72.0,0.020971520000000004,6,0.9656956000253558,1.1297343999613076,0,,,,,,,,,,1905_1145,60.0,
