x,y,orientation,.thisRepN,.thisTrialN,.thisN,.thisIndex,.stepSize,.intensity,image_name,global_start_time,global_end_time,pressKey,pressRT,releaseRT,image_started,image_ended,name,globalTime,fixation_dur,stimulation_dur,post_fixation,opacity,locationResponse_pressKey,locationResponse_pressRT,locationResponse_releaseRT,orientationResponse_pressKey,orientationResponse_pressRT,orientationResponse_releaseRT,pasResponse_pressKey,pasResponse_pressRT,pasResponse_releaseRT,.response,finalOpacity,postLoc,postOri,ID,frameRate,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\1_welcome.png,2.5568528000003425,78.34274929999083,0,75.66749790000904,75.78427960000408,0.07486490000155754,75.78816690000531,,,,,,,,,,,,,,,,,,,,98754,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\2_instruction.png,78.3977453999978,111.02089269999124,0,32.50420199999644,32.62116290000267,0.016008399994461797,32.627866599999834,,,,,,,,,,,,,,,,,,,,98754,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\3_location_demo.png,111.07446069999423,129.5336563000019,0,18.39050639999914,18.457180099998368,0.015760900001623668,18.467854100003024,,,,,,,,,,,,,,,,,,,,98754,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\4_orientation_demo.png,129.60392719999072,166.26008300000103,0,36.587283100001514,36.654003799994825,0.01965560000098776,36.66186990001006,,,,,,,,,,,,,,,,,,,,98754,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\5_pas_demo.png,166.31359059999522,180.9382190000033,0,14.541090900005656,14.622522200006642,0.01715259999036789,14.630439699991257,,,,,,,,,,,,,,,,,,,,98754,60.0,
-152,152,-45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,180.95373009999457,180.0,2.0,72.0,1.0,2,0.8653635999944527,0.9803034999931697,1,2.293749599994044,2.410375199993723,6,2.877978400007123,3.0015443000011146,,,,,98754,60.0,
152,152,-45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,191.7414931999956,168.0,2.0,72.0,1.0,5,2.5642516000079922,2.6445835000049556,1,1.489320200009388,1.6065129000053275,7,1.355517999996664,1.489881300003617,,,,,98754,60.0,
152,152,90,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,202.22498529999575,168.0,2.0,72.0,1.0,5,1.4720732999994652,1.588782299993909,6,1.7424597999925027,1.8440088999923319,7,1.259137799992459,1.3425780999968993,,,,,98754,60.0,
152,152,45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,211.19632560000173,174.0,2.0,72.0,1.0,5,1.4212039999983972,1.538007800001651,7,1.6384340000076918,1.7708121000032406,7,1.2399461999884807,1.4235722000012174,,,,,98754,60.0,
152,152,0,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,220.7219952000014,162.0,2.0,72.0,1.0,5,1.0412610000057612,1.1579184000001987,0,2.2609850999870105,2.361090599995805,7,1.1789512000104878,1.2456623000034597,,,,,98754,60.0,
